sentence,issues,solutions,prompt,pred_prob,matched_src,REVISED
"Old Geng had walked out of the village as the roosters were crowing for the third time and gone straight to a low embankment alongside the swamp in front of the village, where he waited for the chicken thief to show up.","too passive, too many cohesive markers",Prefer active if natural. Keep only necessary markers.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Old Geng had walked out of the village as the roosters were crowing for the third time and gone straight to a low embankment alongside the swamp in front of the village, where he waited for the chicken thief to show up.""
Suggested fixes: Prefer active if natural. Keep only necessary markers.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,老耿在鸡叫三遍时出了村，埋伏在村前洼地边沿一道低矮的土堰后，等待着它偷鸡归来。,"Old Geng walked out of the village as the roosters crowed for the third time and went straight to a low embankment by the swamp in front of the village, where he waited for the chicken thief to appear."
"However, with no shade over the light bulb, the objects in the room simply looked naked rather than illuminated.","too many cohesive markers, too many pronouns",Keep only necessary markers. Reduce pronoun overuse.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""However, with no shade over the light bulb, the objects in the room simply looked naked rather than illuminated.""
Suggested fixes: Keep only necessary markers. Reduce pronoun overuse.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,那电灯没有章子，光便满房间的，不是明亮，而是样样东西都扒了皮，裸着了。,"However, with no shade over the light bulb, the objects in the room looked naked rather than illuminated."
She left the room and walked out of the gate of Green Delights and in the direction of Bao-chai's courtyard.,"too passive, too much nominalization",Prefer active if natural. Turn nouns back into verbs.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""She left the room and walked out of the gate of Green Delights and in the direction of Bao-chai's courtyard.""
Suggested fixes: Prefer active if natural. Turn nouns back into verbs.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,说着自己便出房来。 出了怡红院，一径往宝钗院内来。,"She left the room, walked through the gate of Green Delights, and headed toward Bao-chai's courtyard."
"So, they said my confessions were unconvincing.","too many cohesive markers, too much nominalization",Keep only necessary markers. Turn nouns back into verbs.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""So, they said my confessions were unconvincing.""
Suggested fixes: Keep only necessary markers. Turn nouns back into verbs.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999993,所以人家说，这样的交待材料不可信。,They said my confessions lacked conviction.
"After seeing Yu-cun off, Shi-yin went to bed and slept without a break until the sun was high in the sky next morning.","too passive, too many connectives",Prefer active if natural. Cut redundant connectives.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""After seeing Yu-cun off, Shi-yin went to bed and slept without a break until the sun was high in the sky next morning.""
Suggested fixes: Prefer active if natural. Cut redundant connectives.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,士隐送雨村去后，回房一觉，直至红日三竿方醒。,"After seeing Yu-cun off, Shi-yin went to bed and slept straight through until the sun was high the next morning."
She said she couldn't tell me right then.,"deeply nested syntax, too long",Flatten nested clauses. Split long sentences once.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""She said she couldn't tell me right then.""
Suggested fixes: Flatten nested clauses. Split long sentences once.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999978,她说，现在不能告诉我。,She said she couldn't tell me at that moment.
"At the gate to Wasp Waist Bridge Crimson ran into Trinket again, this time with Jia Yun in tow.","too passive, too many cohesive markers",Prefer active if natural. Keep only necessary markers.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""At the gate to Wasp Waist Bridge Crimson ran into Trinket again, this time with Jia Yun in tow.""
Suggested fixes: Prefer active if natural. Keep only necessary markers.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,这里小红刚走至蜂腰桥门前，只见那边坠儿引着贾芸来了。,"At the gate to Wasp Waist Bridge, Crimson met Trinket again, this time with Jia Yun in tow."
"When Chen Qingyang would come down from the mountain with firewood on her back, she would pull up her clothes, revealing her full and firm breasts, and, without making any distinction, feed one of the babies.","too passive, low lexical variety",Prefer active if natural. Vary wording slightly.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""When Chen Qingyang would come down from the mountain with firewood on her back, she would pull up her clothes, revealing her full and firm breasts, and, without making any distinction, feed one of the babies.""
Suggested fixes: Prefer active if natural. Vary wording slightly.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,陈清扬从山上背柴回来，撩起衣裳，露出极壮硕的乳房，不分青红皂白，就给其中一个喂奶。,"When Chen Qingyang came down from the mountain with firewood on her back, she pulled up her clothes, revealing her full, firm breasts, and, without making any distinction, fed one of the babies."
"And since Trinket was unwilling to admit defeat, there was nothing for it but to begin moving the point around on her cheek.","too many cohesive markers, too many connectives",Keep only necessary markers. Cut redundant connectives.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""And since Trinket was unwilling to admit defeat, there was nothing for it but to begin moving the point around on her cheek.""
Suggested fixes: Keep only necessary markers. Cut redundant connectives.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,韦小宝无可奈何，不肯认输，便将剪尖在她脸上轻轻划来划去。,"Since Trinket was unwilling to admit defeat, there was nothing for it but to move the point around on her cheek."
"She awakened right then, raised her head, and asked what I was doing there.","too many pronouns, deeply nested syntax",Reduce pronoun overuse. Flatten nested clauses.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""She awakened right then, raised her head, and asked what I was doing there.""
Suggested fixes: Reduce pronoun overuse. Flatten nested clauses.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999997,她就在那一刻醒来，抬头问我干什么。,"She awakened, lifted her head, and asked what I was doing there."
"Xi-feng nodded, and Grannie Liu sat herself down on the edge of the kang.","too passive, too many connectives",Prefer active if natural. Cut redundant connectives.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Xi-feng nodded, and Grannie Liu sat herself down on the edge of the kang.""
Suggested fixes: Prefer active if natural. Cut redundant connectives.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999991,凤姐点头，刘老老已在炕沿上坐下了。,Xi-feng nodded. Grannie Liu sat on the edge of the kang.
"To make matters worse, I'd borrowed an air rifle from Luo Xiaosi not long before the incident, and using a bowl of mung beans as bullets, killed a couple of pounds of mice in an empty granary.","too passive, repetition",Prefer active if natural. Remove needless repetition.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""To make matters worse, I'd borrowed an air rifle from Luo Xiaosi not long before the incident, and using a bowl of mung beans as bullets, killed a couple of pounds of mice in an empty granary.""
Suggested fixes: Prefer active if natural. Remove needless repetition.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,在此之前不久，我还借了罗小四的汽枪，用一碗绿豆做子弹，在空粮库里打下了二斤耗子。,"To make matters worse, not long before the incident I’d borrowed an air rifle from Luo Xiaosi and, using a bowl of mung beans as bullets, killed a couple of pounds of mice in an empty granary."
All the mystery and grandeur of the film studio hung suspended in the light shimmering outside her veil.,"too passive, punctuation heavy",Prefer active if natural. Simplify heavy punctuation.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""All the mystery and grandeur of the film studio hung suspended in the light shimmering outside her veil.""
Suggested fixes: Prefer active if natural. Simplify heavy punctuation.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999984236,片厂里的神奇在光里聚集和等候着。,All the mystery and grandeur of the film studio hovered in the light shimmering outside her veil.
"After her husband's death, Shao had soon recovered from her mental breakdown and found ways to survive in the tiny cracks of politics.","too passive, overly dense",Prefer active if natural. Loosen dense noun phrases.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""After her husband's death, Shao had soon recovered from her mental breakdown and found ways to survive in the tiny cracks of politics.""
Suggested fixes: Prefer active if natural. Loosen dense noun phrases.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,丈夫惨死后，绍琳很快从精神错乱中恢复过来，继续在政治夹缝中求生存。,"After her husband died, Shao soon recovered from her mental breakdown and found ways to survive in the narrow gaps of politics."
"Bathed in the moonlight, Mr. Cheng had the sensation that he was lying in water.","too passive, too much nominalization",Prefer active if natural. Turn nouns back into verbs.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""Bathed in the moonlight, Mr. Cheng had the sensation that he was lying in water.""
Suggested fixes: Prefer active if natural. Turn nouns back into verbs.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",1,程先生觉着自己像躺在水里似的。,"Bathed in the moonlight, Mr. Cheng felt as if he were lying in water."
On the other hand you're still young and comparatively unformed; and so far you don't seem to have done anything particularly bad.,"too many connectives, punctuation heavy",Cut redundant connectives. Simplify heavy punctuation.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""On the other hand you're still young and comparatively unformed; and so far you don't seem to have done anything particularly bad.""
Suggested fixes: Cut redundant connectives. Simplify heavy punctuation.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999936932,你年纪还小，性子浮动些，也没做了什么坏事。,"You're still young and comparatively unformed, and so far you don't seem to have done anything particularly bad."
"He said the stench of rotten flesh drifted beyond the Shan compound, which swarmed with horseflies. . . .","too many cohesive markers, too long",Keep only necessary markers. Split long sentences once.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""He said the stench of rotten flesh drifted beyond the Shan compound, which swarmed with horseflies. . . .""
Suggested fixes: Keep only necessary markers. Split long sentences once.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.991266686,他们说站在单家院子外，就能闻到一股烂肉臭味，单家的院子里，飞舞着成群结队的绿头苍蝇……,"The stench of rotten flesh, he said, drifted beyond the Shan compound. The place swarmed with horseflies."
This was the first time that Mr. Cheng had met the evening's guests.,"too many cohesive markers, too much nominalization",Keep only necessary markers. Turn nouns back into verbs.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""This was the first time that Mr. Cheng had met the evening's guests.""
Suggested fixes: Keep only necessary markers. Turn nouns back into verbs.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.998850172,程先生同这两位全是初次见面。,This was the first time Mr. Cheng met the evening's guests.
"When they saw her coming, people stopped talking and turned to stare, but she acted as if they did not exist.","too passive, repetition",Prefer active if natural. Remove needless repetition.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""When they saw her coming, people stopped talking and turned to stare, but she acted as if they did not exist.""
Suggested fixes: Prefer active if natural. Remove needless repetition.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999999,她在弄堂里走过，人们便都停了说话，将目光转向她。 她则昂然不理会，进出如入无人之境。,"When she approached, people stopped talking and stared, but she acted as if they didn’t exist."
"The first impression Ye had was that, though the three had once seemed to be carved out of the same mold, they now looked very different from each other.","too passive, deeply nested syntax",Prefer active if natural. Flatten nested clauses.,"[INST] You are an expert English editor.
The following sentence shows signs of translationese: ""The first impression Ye had was that, though the three had once seemed to be carved out of the same mold, they now looked very different from each other.""
Suggested fixes: Prefer active if natural. Flatten nested clauses.
Rules:
- Preserve the original meaning and all factual details
- Preserve names, numbers, colors, and body-part details
- Preserve negation and modality (not/never/might/would/I think, etc.)
- Keep the original style and register; maintain the original grammatical voice (active/passive), tense, aspect, and person unless ungrammatical
- Make minimal necessary edits following the suggested fixes
- Do NOT add or omit information
- Output only the revised sentence on a single line, without quotes
[/INST]",0.999999996,叶文洁的第一印象就是，与当年的整齐划一相比，她们之间的差异变大了。,"Ye’s first impression was that the three, once seemingly carved from the same mold, now looked very different from one another."
